step 100  mean_loss_last_100: 1.35920  trial_acc (50 trials): 0.0600
step 200  mean_loss_last_100: 1.04565  trial_acc (50 trials): 0.0400
step 300  mean_loss_last_100: 1.00365  trial_acc (50 trials): 0.0200
step 400  mean_loss_last_100: 0.94587  trial_acc (50 trials): 0.0800
step 500  mean_loss_last_100: 0.88679  trial_acc (50 trials): 0.0200
step 600  mean_loss_last_100: 0.83773  trial_acc (50 trials): 0.1400
step 700  mean_loss_last_100: 0.79045  trial_acc (50 trials): 0.2200
step 800  mean_loss_last_100: 0.74766  trial_acc (50 trials): 0.2400
step 900  mean_loss_last_100: 0.71131  trial_acc (50 trials): 0.2800
step 1000  mean_loss_last_100: 0.68252  trial_acc (50 trials): 0.2400
step 1100  mean_loss_last_100: 0.65833  trial_acc (50 trials): 0.3400
step 1200  mean_loss_last_100: 0.63225  trial_acc (50 trials): 0.3600
step 1300  mean_loss_last_100: 0.60856  trial_acc (50 trials): 0.3400
step 1400  mean_loss_last_100: 0.58932  trial_acc (50 trials): 0.2600
step 1500  mean_loss_last_100: 0.57200  trial_acc (50 trials): 0.4800
step 1600  mean_loss_last_100: 0.54729  trial_acc (50 trials): 0.4800
step 1700  mean_loss_last_100: 0.52788  trial_acc (50 trials): 0.5600
step 1800  mean_loss_last_100: 0.51071  trial_acc (50 trials): 0.5000
step 1900  mean_loss_last_100: 0.49319  trial_acc (50 trials): 0.6000
step 2000  mean_loss_last_100: 0.47538  trial_acc (50 trials): 0.6400
Finished training.
